reviews.text,processed_text,reviews.rating
This a fantastic white wine for any occasion!,fantastic white wine occasion,5.0
"Tart, not sweet...very refreshing and delicious!",tart sweetvery refreshing delicious,5.0
I was given this wine so it was a delightful surprise to find that it has a flavorful and delicious taste! A new favorite!!!!,given wine delightful surprise find flavorful delicious taste new favorite,5.0
This is a phenomenal wine and my new favorite red.,phenomenal wine new favorite red,5.0
4 750ml bottles for the price of two With way less packaging YES PLEASE! I was nervous it was too good to be true and I wouldn't like the wine but it's fantastic! I have to go a bit out of my way to get it (I live near a state line and it isn't sold in my state due to liquor laws) but it's worth it.,ml bottle price two way le packaging yes please nervous good true wouldnt like wine fantastic go bit way get live near state line isnt sold state due liquor law worth,5.0
I LOVE Becks NA. It tastes just like a regular ale. It smells like one too. It tastes great. It's the only NA that I drink. My friends love it too. It has a great head when you pour.,love beck na taste like regular ale smell like one taste great na drink friend love great head pour,5.0
This wine has a wonderful but strong aroma its a bit bitter has a bite to it but still goodit was worth it in the end,wine wonderful strong aroma bit bitter bite still goodit worth end,3.0
"I would give one more star if it came clean on the bottle and called itself a 'sweet red'. Instead it get's poetic and grandiose about itself when all it is is a blend which (standard practice) gets a dash of grape juice concentrate to sweeten it. It also looses a star for the price, I rather look to the side of my Target's shelves and pick-up a Lambrusco for about 3-4 less.",would give one star came clean bottle called sweet red instead get poetic grandiose blend standard practice get dash grape juice concentrate sweeten also loos star price rather look side target shelf pickup lambrusco le,2.0
Delicious and very affordable,delicious very affordable,5.0
"This is a very smooth red with Aromas of cocoa, coffee, tobacco sweet black cherry. Bold but soft. I highly recommend this one.",very smooth red aroma cocoa coffee tobacco sweet black cherry bold soft highly recommend one,5.0
"Based on positive reviews, I served all of the Fancy Pants varieties at a recent party. My guests and I loved them! Since I am not a wine expert, I will provide some details on this variety from the Fancy Pants website: ...is like sunshine in the glass. Its brisk and bright, with inviting citrus, melon and passion fruit aromas leading to mouthwatering grapefruit and zesty lime flavors with hints of minerality on the palate. Vibrant acidity and a crisp, clean finish make this wine a versatile partner for a wide range of foodsespecially succulent seafood, Mediterranean-style grilled vegetables, and salads. Served well chilled, our Sauvignon Blanc is fun and friendlythe perfect pour for sunny afternoons and picnics.",based positive review served fancy pant variety recent party guest loved since wine expert provide detail variety fancy pant website like sunshine glass brisk bright inviting citrus melon passion fruit aroma leading mouthwatering grapefruit zesty lime flavor hint minerality palate vibrant acidity crisp clean finish make wine versatile partner wide range foodsespecially succulent seafood mediterraneanstyle grilled vegetable salad served well chilled sauvignon blanc fun friendlythe perfect pour sunny afternoon picnic,5.0
Nice fruity and sweet taking sparkling wine. Goes great in mimosa. You have to try it to see how you will like it. Even the guys would enjoy this at your wedding!,nice fruity sweet taking sparkling wine go great mimosa try see like even guy would enjoy wedding,5.0
A rich amber Ale with a subtle but noticeable hop character. Great beer to pair with food!,rich amber ale subtle noticeable hop character great beer pair food,5.0
"This light bodied IPA is dry hopped with cascade for a bold and bright HP aroma, balanced by a refreshing and crisp Ale. Great for a cookout out day at the beach, love it!",light bodied ipa dry hopped cascade bold bright hp aroma balanced refreshing crisp ale great cookout day beach love,5.0
"This light bodied IPA is dry hopped with cascade for a bold and bright HP aroma, balanced by a refreshing and crisp Ale. Great for a cookout out day at the beach, love it!",light bodied ipa dry hopped cascade bold bright hp aroma balanced refreshing crisp ale great cookout day beach love,5.0
Great for a perfect summer day or a get together with the girls.,great perfect summer day get together girl,5.0
I'm not sure if this is a bad bottle or if it was intentionally made effervescent. I don't want bubbles when I drink Pinot Grigio. Goes well with mozzarella string cheese and Cinemasins.,im sure bad bottle intentionally made effervescent dont want bubble drink pinot grigio go well mozzarella string cheese cinemasins,2.0
"Obsessed with this new drink----However, it has been sold out at every Target I have been to lately :(",obsessed new drinkhowever sold every target lately,5.0
"This is an excellent red wine, not to dry and not real sweet. More of a red blend. Great go with anything anytime. In the right price point as other known brands on the market.",excellent red wine dry real sweet red blend great go anything anytime right price point known brand market,5.0
One of the best Cabernets I had in quite sometime......!!!!!!,one best cabernet quite sometime,5.0
"This is a great buy for the price. Someone had given me a bottle and I liked the look of it so much that I didn't want to open it. Had no idea it was so nicely priced and so easily available. Finally opened it when I was in a bind, needing white wine for a favorite holiday recipe and this was all I had on hand. It's a nice, smooth Pinot, very nice flavor, pleasurable to the palate. What I especially love about this brand, however, is the bottle itself! Screw off the black top and there is a smaller neck with a cork closure. The beauty is that the black cap is designed so that it will reseal the bottle without the cork needing to be squeezed back in...a really thoughtful design. I almost hate to admit how much I was impressed by it! Will be stopping by Target specifically to buy more to have in the house. Highly recommend.",great buy price someone given bottle liked look much didnt want open idea nicely priced easily available finally opened bind needing white wine favorite holiday recipe hand nice smooth pinot very nice flavor pleasurable palate especially love brand however bottle screw black top smaller neck cork closure beauty black cap designed reseal bottle without cork needing squeezed back ina really thoughtful design almost hate admit much impressed stopping target specifically buy house highly recommend,5.0
Gluten free plus lower on calories plus very refreshing!,gluten free plus lower calorie plus very refreshing,5.0
Best of the bunch of all of The wine Cube sku's. Target Wine Buyer: please bring back!,best bunch wine cube skus target wine buyer please bring back,5.0
"I like the wine and I like the idea of a sealed cube during the week when only drinking a glass or two at a time. But when they re-sized the box a few months ago, it made it impossible to open and setup properly. While I applaud Target for reducing the packaging, this just isn't working.",like wine like idea sealed cube week drinking glass two time resized box month ago made impossible open setup properly applaud target reducing packaging isnt working,3.0
"I have tried my share of Moscato D' Astis before, this has to be the smoothest that I have ever tried. Not too sweet or too fizzy but perfect. I got it for the pretty bottle but was very surprised about the taste. Try it, you won't be disappointed.",tried share moscato astis smoothest ever tried sweet fizzy perfect got pretty bottle very surprised taste try wont disappointed,5.0
"Highly, highly recommend!! It's sweet but not syrupy- just right! And I love that it's bubbly, I don't have to mix my wine with seltzer anymore!",highly highly recommend sweet syrupy right love bubbly dont mix wine seltzer anymore,5.0
My favorite bottle design. The best cheap lager.,favorite bottle design best cheap lager,5.0
Delicious. I hate all the other flavors but this one tastes great. Now if I can only find it in the store.,delicious hate flavor one taste great find store,5.0
